Solute SMILES,LogS
CN(CC1)CCN1C2=CC=C(NC3=NCC4C(N([C@H]5CC[C@@H](NCCC)CC5)C(N(C6=C(Cl)C=CC=C6)C4)=O)=N3)C=C2C,6.854803594
CN1CCN(c2ccc(Oc3ccc4c(c3)C(=O)N(Cc3ccccc3)c3cc(F)ccc3N4)cc2)CC1,7.886056648
COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(Nc2ccc(NCc3ccc(S(=O)(=O)F)cc3)cc2)n1,6.958607315
CCC(=O)Nc1cc(Nc2nccc(-c3cn(CCCO)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,6.194907122
CN(CCN(C)C)C1=CC=C(NC2=NC=C3C(N(C4CCCC4)C(CNC5=CC=CC=C5)=C3)=N2)C=C1,7.769551079
COc1cc2c(Nc3ccc(NC(=O)C(C4CCCCC4)N4Cc5ccccc5C4=O)cc3F)ncnc2cc1OCC1CCN(C)CC1,6.442132038
CP(C)(C1=C(NC2=NC(NC3=CC(CC)=C(N4CCC(N5CCOCC5)CC4)C=C3OC)=NC=C2Br)C=CN6C1=NC=N6)=O,9.031517051
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,5.687611051
C=CC(=O)Nc1cc(Nc2cc(-c3[nH]c(SC)nc3-c3ccc(F)cc3)ccn2)cc(N2CCOCC2)c1,7.27572413
CCC(=O)N[C@H]1CC[C@@H](n2c(=O)c(-c3ccccc3Cl)c(C)c3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)CC1,7.557520231
C=CC(NC1=CC=CC(C2=C(C3=CC=C(N4CCN(C)CC4)C=C3)NC5=NC=NC(OCCCC)=C52)=C1)=O,8.026872146
CC1(C)CC[C@]2(C(=O)OCCCCO[N+](=O)[O-])CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,7.397940009
CN(C)CCN(C)c1nc(Nc2ccc(F)cc2)nc2cnc(Nc3ccc(N4CCC(N(C)C)CC4)cn3)cc12,7.607303047
O=C(NC1=CC=CC(C2=C(C3=CC(NC4=CC(NC(C=C)=O)=CC=C4OC)=NC=C3)NC(SC)=N2)=C1)C5=C(F)C=CC(O)=C5CN(C(C6=C7C=CC=C6)=O)C7=O,8.30980392
CCC(NC1=CC=C(OC)C(NC2=NC=CC(C3=C(C4=CC=C(F)C=C4)N=C(SC)N3)=C2)=C1)=O,6.777283529
CP(C)(C1=C(NC2=NC(NC3=CC(CC)=C(N4CCC(N5CCN(CC)CC5)CC4)C=C3OC)=NC=C2Br)C=CN6C1=NC=N6)=O,9.173925197
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc4ccccc4c3)c3c(N)ncnc32)C1,7.055517328
CC1=CC(NC2=NCC3C(N([C@H]4CC[C@@H](NC(C(C)C)=O)CC4)C(N(C5=C(Cl)C=CC=C5)C3)=O)=N2)=CC=C1N6CCN(C)CC6,8.173925197
CP(C)(C1=CC=CC=C1NC2=NC(NC3=CC(C)=C(N4CCC(N5CCN(C)CC5)CC4)N=C3)=NC=C2Cl)=O,8.677780705
CC1=CC(NC2=NCC3C(N([C@H]4CC[C@@H](NC(C5CCCCC5)=O)CC4)C(N(C6=C(Cl)C=CC=C6)C3)=O)=N2)=CC=C1N7CCN(C)CC7,7.36552273
NCC1=CC=CC(C2=NC(C3=CC=C(F)C=C3)=C(C4=C5C(NC(C6=CC=CC=C6)=C5)=NC=C4)N2)=C1,6.473660723
OCCc1nc(-c2ccc(F)cc2)c(-c2ccnc3[nH]c(-c4ccccc4)cc23)[nH]1,8.116906641
OCCCCc1nc(-c2ccc(F)cc2)c(-c2ccnc3[nH]c(-c4ccccc4)cc23)[nH]1,8.054039296
COc1cc2ncnc(Nc3ccc(NC(=O)C(c4ccccc4)N4Cc5ccccc5C4=O)cc3F)c2cc1OCN1CCOCC1,6.758702613
CN(CC1)CCN1C2=CC=C(NC3=NCC4C(N([C@H]5CC[C@@H](NC(CC)=O)CC5)C(N(C6=C(Cl)C=CC=C6)C4)=O)=N3)C=C2OC,7.879426069
CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n([C@@H]5CCN(S(=O)(=O)C6CC6)C5)c4n3)cc2)CC1,7.744727495
CP(C)(C1=C2C(OCCO2)=CC=C1NC3=NC(NC4=CC(C)=C(N5CCC(N6C[C@H](OCC)CC6)CC5)C=C4OC)=NC=C3Br)=O,9.387216143
CC1=CC(NC2=NCC3C(N([C@H]4CC[C@@H](NC(CC)=O)C4)C(N(C5=C(Cl)C=CC=C5)C3)=O)=N2)=CC=C1N6CCN(C)CC6,7.345823458
C=CC(NC1=CC=CC(C2=C(C3=CC=C(N4CCN(C)CC4)C=C3)NC(N=CN5CCSC)=C2C5=O)=C1)=O,6.11463878
CP(C)(C1=C2C(OCCO2)=CC=C1NC3=NC(NC4=CC(CC)=C(N5CCC(N6CC(N(C)C)C6)CC5)C=C4OC)=NC=C3Br)=O,10.09691001
OCCCc1nc(-c2ccc(F)cc2)c(-c2ccnc3[nH]c(-c4ccccc4)cc23)[nH]1,7.675717545
C=CC(NC1=CC=CC(C2=C(C3=CC=C(N4CCN(C)CC4)C=C3)NC(N=CN5CC6CC6)=C2C5=O)=C1)=O,6.614393726
CN(C)C1CCN(c2ccc(Nc3cc4c(N5CCOCC5)nc(Nc5ccc(F)cc5)nc4cn3)nc2)CC1,7.552841969
CP(C)(C1=CC=CC=C1NC2=NC(NC3=CC=C(N4CCC(N5CCN(C)CC5)CC4)C(Cl)=C3)=NC=C2Br)=O,8.48148606
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,5.498940738
O=C(NC1=CC(NC2=NC=CC(C3=CN(C)C4=C3C=CC=C4)=N2)=C(OC)C=C1N(CCN(C)C)C)C5=CC=NC(Cl)=C5,6.37675071
CN(C)C1CCN(c2ccc(Nc3cc4c(N5CCOCC5)nc(Nc5ccccc5)nc4cn3)nc2)CC1,7.266802735
CCC(=O)N1CCC[C@@H](n2c(=O)c(-c3ccccc3Cl)c(C)c3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1,7.186419011
OCCCc1nc(-c2ccc(F)cc2)c(-c2ccnc3[nH]ccc23)[nH]1,6.025488307
C=CC(=O)N[C@H]1CCN(c2nc(Nc3ccccc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cn4)cc23)C1,6.54515514
CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n([C@H]5CCN(S(=O)(=O)C6CC6)C5)c4n3)cc2)CC1,7.397940009
C=CC(NC1=CC=CC(C2=C(C3=CC=C(N4CCN(C)CC4)C=C3)NC5=NC=NC(OCC)=C52)=C1)=O,7.677780705
CN(CC1)CCN1C2=CC=C(NC3=NCC4C(N([C@H]5CC[C@@H](NC(CC)=O)CC5)C(N(C6=C(Cl)C=CC=C6)C4)=O)=N3)C(C)=C2,8.040958608
CN(CCCO)c1nc(Nc2ccc(F)cc2)nc2cnc(Nc3ccc(N4CCC(N(C)C)CC4)cn3)cc12,7.284832642
CC(C)NC1=CC(NC2=NC(N3C[C@H](F)[C@H](O)CC3)=NC=C2)=NC=C1C(NC)=O,6.978810701
O=C(OC1=CC=C(C2=NC3=CC=C(Cl)C=C3C(C)=C2)C=C1)C4=CC=C(C(F)(F)F)C=C4,6.872895202
O=C(NC1=CC=CC(C2=C(C3=CC(NC(C)=O)=NC=C3)NC(SC)=N2)=C1)C4=C(F)C=CC(O)=C4CN(C(C5=C6C=CC=C5)=O)C6=O,7.494850022
O=C1c2cc(-c3ccc(N4CCNCC4)cc3)ccc2Nc2ccc(F)cc2N1Cc1ccccc1,7.721246399
C=CC(NC1=CC=CC(C2=C(C3=CC=C(N4CCN(C)CC4)C=C3)NC(N=CN5CC(C)C)=C2C5=O)=C1)=O,6.448550002
CN1CCN(c2ccc(Nc3ncc4nc(Sc5ccccc5)n(C5CCOCC5)c4n3)cc2)CC1,6.049635146
F[C@H]([C@H](O)CC1)CN1C2=NC=CC(NC3=NC=C(C(NC)=NC=C4C(C)C)C4=C3)=N2,7.337242168
COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(Nc2cccc(NC(=O)c3cccc(S(=O)(=O)F)c3)c2)n1,6.322393047
CN(C)C1CCN(c2ccc(Nc3cc4c(N5CCCC5)nc(Nc5ccccc5)nc4cn3)nc2)CC1,7.206209615
CP(C)(C1=C2N=CC=NC2=CC=C1NC3=NC(NC4=CC(C)=C(N5CCC(N6CC(OCC)C6)CC5)C=C4OC)=NC=C3Br)=O,9.366531544
CP(C)(C1=CC=CC=C1NC2=NC(NC3=CC(Cl)=C(N4CCC(N5CCN(C)CC5)CC4)C(Cl)=C3)=NC=C2Cl)=O,7.474955193
CP(C)(C1=C2C(OCCO2)=CC=C1NC3=NC(NC4=CC(C)=C(N5CCC(N6CC(N(CC)C)C6)CC5)C=C4OC)=NC=C3Br)=O,9.552841969
CP(C)(C1=C2C(OCCO2)=CC=C1NC3=NC(NC4=CC(C)=C(N5CCC(N6C[C@@H](N(C)C)CC6)CC5)C=C4OC)=NC=C3Br)=O,9.823908741
O=C(Nc1nccs1)C(c1cc(F)ccc1O)N1Cc2ccccc2C1=O,7.136082623
CP(C)(C1=C2N=CC=NC2=CC=C1NC3=NC(NC4=CC(CC)=C(N5CCC(N6CCN(C)CCC6)CC5)C=C4OC)=NC=C3Br)=O,9.568636236
CN1CCN(C2CCN(C3=CC=C(NC4=NC=C5C(N(C6CCCC6)C(CNC7=CC=CC=C7)=C5)=N4)C(OC)=C3)CC2)CC1,7.026872146
CP(C)(C1=C2C(OCCO2)=CC=C1NC3=NC(NC4=CC(C)=C(N5CCC(N6CCN(C)CCC6)CC5)C=C4OC)=NC=C3Br)=O,10.0
CP(C)(C1=C2C(OCCO2)=CC=C1NC3=NC(NC4=CC(CC)=C(N5CCC(N6CC(COC)C6)CC5)C=C4OC)=NC=C3Br)=O,9.920818754
C=CC(NC1=CC=CC(C2=C(C3=CC=C(N4CCN(C)CC4)C=C3)NC(N=CN5CC6=CC=CC=C6)=C2C5=O)=C1)=O,5.630227711
C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3-c3ccc(F)cc3)ccn2)c1,7.045757491
COc1c(OCC2CCN(C)CC2)cc3ncnc(Nc4cc(NC(C(c5cc(F)ccc5)N6Cc7ccccc7C6=O)=O)ccc4F)c3c1,7.872895202
COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,8.522878745
CC(=O)OC[C@]1(C)[C@@H](OC(C)=O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2CC=C2[C@@H]3CC(C)(C)CC[C@]3(C(=O)OCCCCO[N+](=O)[O-])CC[C@]21C,8.0
COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(Nc2cccc(NCCS(=O)(=O)F)c2)n1,6.339134522
O[C@@H]1CN(C2=NC=CC(NC3=CC4=C(C=N3)C(N5[C@H](C)[C@@H](CS(=O)(C)=O)C5)=CC=C4C(C)C)=N2)CC(F)(F)[C@@H]1OC,9.15490196
C=CC(NC1=CC=C(OC)C(NC2=NC=CC(C3=C(C4=CC=C(F)C=C4)N=C(SC)N3)=C2)=C1)=O,7.045757491
CN(CC1)CCN1C2=CC=C(NC3=NCC4C(N([C@H]5CC[C@@H](NC(CC)=O)CC5)C(N(C6=C(Cl)C=CC=C6)C4)=O)=N3)C=C2C(F)(F)F,8.055517328
CC1=CC(NC2=NCC3C(N([C@H]4CC[C@@H](NC(C(C)(C)C)=O)CC4)C(N(C5=C(Cl)C=CC=C5)C3)=O)=N2)=CC=C1N6CCN(C)CC6,8.102372909
O=C(NC1=CC=CC(C2=C(C3=CC(NC(C)=O)=NC=C3)NC(SC)=N2)=C1)C4=CC(O)=CC=C4F,8.096910013
COc1c(OCC2CCN(CC2)C)cc3c(Nc4ccc(NC(C(c5ccccc5)N6Cc7ccccc7C6=O)=O)cc4F)ncnc3c1,7.744727495
CN(C)C1CCN(c2ccc(Nc3ncc4nc(Sc5ccccc5)n(C5CCOCC5)c4n3)cc2)CC1,6.480172006
F[C@@]([C@H](O)CC1)(C)CN1C2=NC=CC(NC3=NC=C(C(N4C[C@H](CS(C)(=O)=O)[C@H]4C)=NC=C5C(C)C)C5=C3)=N2,9.698970004
O=C1c2cc(Oc3ccc(N4CCNCC4)cc3)ccc2Nc2ccc(F)cc2N1Cc1ccccc1,7.638272164
CN(CCO)c1nc(Nc2ccccc2)nc2cnc(Nc3ccc(N4CCC(N(C)C)CC4)cn3)cc12,7.289882635
CP(C)(C1=CC=CC=C1NC2=NC(NC3=CC=C(N4CCC(N5CCN(C)CC5)CC4)C(OC(F)(F)F)=C3)=NC=C2Cl)=O,7.88941029
CC(C)(O)Cn1/c(=N/C(=O)c2cccc(-c3cccnc3)c2)[nH]c2ccccc21,5.568636236
C=CS(=O)(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2Cl)c1,6.170696227
O=C(C1=NC=NC=C1)NC2=CC(NC3=NC=CC(C4=CN(CCCO)C5=C4C=CC=C5)=N3)=C(OC)C=C2N(CCN(C)C)C,6.793174124
CC1=CC(NC2=NCC3C(N([C@H]4CC[C@@H](NC(C)=O)CC4)C(N(C5=C(Cl)C=CC=C5)C3)=O)=N2)=CC=C1N6CCN(C)CC6,8.37675071
CC1(C)CC[C@]2(C(=O)OCCO[N+](=O)[O-])CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,7.522878745
CP(C)(C1=CC=CC=C1NC2=NC(NC3=CC=C(N4CCC(N5CCN(C)CC5)CC4)C(C(F)F)=C3)=NC=C2Cl)=O,7.63638802
CP(C)(C1=C2C(OCCO2)=CC=C1NC3=NC(NC4=CC(C)=C(N5CCC(N6CC(N(C)C)C6)CC5)C=C4OC)=NC=C3Br)=O,9.657577319
CN(CC1)CCN1C2=CC=C(NC3=NCC4C(N([C@H]5CC[C@@H](NC(CC)=O)CC5)C(N(C6=C(Cl)C=CC=C6)C4)=O)=N3)C=C2,7.73754891
COC1=CC(N2CCC(N(C)C)CC2)=CC=C1NC3=NC=C4C(N(C5CCCC5)C(CNC6=CC=CC=C6)=C4)=N3,7.259637311
O=C(C1COC2=C(C=CC=C2)C1=O)NC(C3=CC=CC(Cl)=C3)C4=CC=CC=C4,6.879426069
O=S(C[C@@H]1[C@@H](C)N(C2=CC=C(C(C)C)C3=C2C=NC(NC4=NC(N5C[C@H](F)[C@H](OC)CC5)=NC=C4)=C3)C1)(C)=O,9.301029996
CN(C)C/C=C/C(=O)NCc1cccc(-c2nc(-c3ccc(F)cc3)c(-c3ccnc4[nH]c(-c5ccccc5)cc34)[nH]2)c1,6.438898616
