SMILES,pIC50,mol,num_atoms,logP
CC(C)(C)N(NC(=O)c1ccc(Cl)cc1)C(=O)c1ccccc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a32d1310>,23,3.925700000000002
NC1=NCC(CN2CCC(C(=O)c3ccccc3)CC2)O1,0.05,<rdkit.Chem.rdchem.Mol object at 0x7f59a3144900>,21,1.2947999999999993
O=NC1C=CC(N=O)C=C1,0.04,<rdkit.Chem.rdchem.Mol object at 0x7f59a2983370>,10,1.3824
Cc1cccc2c(C)cccc12,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a29a44a0>,12,3.456640000000002
CCCCC(OC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)NC(CC1CCCCC1)C(O)CC(C(=O)NCCNc1n[nH]c(N)n1)C(C)C,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a32f0cf0>,56,4.191600000000005
FN(F)C(c1ccccc1)(c1ccccc1)c1ccccc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a31106d0>,22,5.049500000000004
COc1ccccc1OC,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a2979460>,10,1.7038
COc1nc(N(C)C)nc(C(Cl)(Cl)Cl)n1,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a3115bd0>,15,1.7729
CSC(SC)=C(C(=O)OC(C)C)C(=O)OC(C)C,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a3288eb0>,18,2.8272000000000013
CCCCC(C(=O)OCC)n1nnc2ccccc21,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a32d40b0>,19,2.7257000000000007
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a32976f0>,22,2.3934
CCC(N)=O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a2974270>,5,-0.1182999999999999
O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a32317e0>,23,1.7404999999999995
COC(=O)C(C)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a3297840>,23,3.687400000000003
COC(=O)C(C#N)=NNc1ccc(SC(F)(F)F)cc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a326b1b0>,20,2.7629800000000007
CC(=O)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1Br,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a30fb680>,19,4.445100000000001
NNc1ccc(Br)cc1,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a29a69d0>,9,1.7347
C=CCC(NC(C)=O)C(N)=O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a310ac00>,11,-0.4475000000000006
O=C(O)c1cc2ccccc2cc1O,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a297a420>,14,2.2436000000000003
COCN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a326c890>,24,2.3827
CCCc1nonc1C,0.05,<rdkit.Chem.rdchem.Mol object at 0x7f59a32ab990>,9,1.33052
CNC12CCCCC1CC(O)c1ccccc12,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a3109310>,17,2.728600000000001
CCNP(=O)(OCC)ON=C(C#N)c1ccc([N+](=O)[O-])cc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a329d620>,22,2.5931800000000003
CN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a3254350>,20,2.1118
COc1cccc(N(C)C(=S)Oc2cccc(C(C)(C)C)c2)n1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a32b9a10>,23,4.187800000000003
N#CC1CCCCC1n1cc(C(N)=O)c(Nc2cnc3cc(F)ccc3c2)n1,7.8,<rdkit.Chem.rdchem.Mol object at 0x7f59a2956880>,28,3.667780000000002
CCN(CC)C(=O)c1ccccc1Cl,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a321d150>,14,2.822000000000001
CCOC(=O)C(C#N)=NNc1cccc(Cl)c1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a32778b0>,17,2.19458
CCCCC(C#N)(Cn1ccnc1)c1ccccc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a3294890>,19,3.534880000000002
CC(=O)Nc1n[nH]c(C)cc1=O,0.92,<rdkit.Chem.rdchem.Mol object at 0x7f59a3224900>,12,0.0367199999999999
O=C1C=C(N2CC2)C(=O)c2ccccc21,0.05,<rdkit.Chem.rdchem.Mol object at 0x7f59a310d310>,15,1.2651
ClC(Cl)C(c1ccccc1)c1ccccc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a29ccc10>,16,4.622200000000003
Cn1cnc([N+](=O)[O-])c1[N+](=O)[O-],0.58,<rdkit.Chem.rdchem.Mol object at 0x7f59a3225f50>,12,0.2364999999999997
Cn1nnnc1SCC1=C(C(=O)OCOC(=O)C(C)(C)C)N2C(=O)C(NC(=O)Cc3csc(N)n3)C2SC1,0.47,<rdkit.Chem.rdchem.Mol object at 0x7f59a32c18c0>,38,0.3276000000000018
CCC(=O)OC1(C(=O)CCl)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC21C,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a32667a0>,32,4.372400000000004
O=c1[nH]c2cnc(-n3cnc4ccc(F)cc43)nc2n1Cc1c(F)cccc1F,6.5,<rdkit.Chem.rdchem.Mol object at 0x7f59a293ea40>,29,2.924100000000002
COC(=O)C(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a31366c0>,29,4.913600000000005
CCOC(=O)c1ccc(S(N)(=O)=O)cc1,0.31,<rdkit.Chem.rdchem.Mol object at 0x7f59a3247f40>,15,0.5107000000000003
CC(=O)Nc1ccnnc1,0.37,<rdkit.Chem.rdchem.Mol object at 0x7f59a3124350>,10,0.4349999999999998
O=c1[nH]c2cnc3[nH]ccc3c2n1CC1CCCCC1,7.06,<rdkit.Chem.rdchem.Mol object at 0x7f59a2946c70>,20,2.786200000000001
Nc1nnnn1-c1cccc2ccccc12,0.04,<rdkit.Chem.rdchem.Mol object at 0x7f59a3145770>,16,1.3976999999999993
c1ccc2c(c1)Oc1ccccc1S2,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a2994890>,14,3.943500000000001
N#CCCCCCCC#N,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a29af680>,10,2.3741600000000007
Nc1ccccc1-c1ccccc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a2978f20>,13,2.9358000000000013
CCCNc1ccc(C(=O)OCCN(C)C)cc1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a30fcc80>,18,2.2269
Cc1cc(Cl)ccc1NC1=NCCN1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a29dbd80>,14,2.0195199999999995
O=C(c1ccccc1)c1cccc(NS(=O)(=O)C(F)F)c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a325d2a0>,21,2.881900000000001
ClCc1ccc(Cl)cc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a2982ff0>,9,3.078800000000002
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccc(C(F)(F)F)cc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a32d1d90>,26,4.291100000000003
NC(=O)c1[nH]cc(-c2ccc(Cl)cc2)c1N1CCOCC1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a3143a00>,21,2.2706
COc1cc(CC(=O)O)ccc1OCCCC(C)C,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a30fcf90>,19,3.137300000000001
CN(C)c1ccc(N=c2snc3sc(S(N)(=O)=O)nn23)cc1,0.16,<rdkit.Chem.rdchem.Mol object at 0x7f59a31234c0>,22,0.7981
CNc1nc(NC(C)(C)C)nc(SC(F)F)n1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a310ba70>,17,2.438400000000001
C1OC1C1CO1,,<rdkit.Chem.rdchem.Mol object at 0x7f59a29a4120>,6,-0.2159999999999999
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccc(Cl)cc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a32d11c0>,23,3.925700000000002
O=CC=Cc1ccccc1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a2982dc0>,10,1.8987
Cc1ccccc1NS(=O)(=O)c1ccc(N)cc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a3249230>,18,2.37802
Brc1c2ccccc2cc2ccccc12,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a312a960>,15,4.755500000000002
CN1CCN(c2cccc(Nc3nc4c(-c5cccc(CN(C)S(C)(=O)=O)c5)cccn4n3)c2)CC1,8.23,<rdkit.Chem.rdchem.Mol object at 0x7f59a295d380>,36,3.283100000000002
NS(=O)(=O)c1cc2cc(CN3CCOCC3)sc2o1,0.11,<rdkit.Chem.rdchem.Mol object at 0x7f59a32db840>,19,0.9739000000000002
